Institution,Service,URL,Present,Notes
University of Iowa,Data_analysis_instruction,http://www.lib.uiowa.edu/data/events/,y,recent workshops
University of Iowa,Data_analysis_instruction,https://www.lib.uiowa.edu/news-and-events/event/?id=53141,y,recent workshop
"University of Maryland, College Park",Data_analysis_instruction,https://lib.guides.umd.edu/c.php?g=327087&p=3506810,n,"no clear workshops, just materials"
"University of Maryland, College Park",Data_analysis_instruction,https://www.lib.umd.edu/rc/data-science,y,Through events calendar
"University of Minnesota, Twin Cities",Data_analysis_instruction,https://www.lib.umn.edu/datamanagement/computing,n,This is a direct of services across their campuses
University of North Carolina at Chapel Hill,Data_analysis_instruction,https://guides.lib.unc.edu/mattjansen,y,Through their Research Hub
University of North Carolina at Chapel Hill,Data_analysis_instruction,https://library.unc.edu/hub/services/statistical-consulting/,y,
University of Oregon,Data_analysis_instruction,https://researchguides.uoregon.edu/c.php?g=567658&p=3987370,n,
University of Oregon,Data_analysis_instruction,https://researchguides.uoregon.edu/library_workshops/python,y,
University of Texas at Austin,Data_analysis_instruction,https://www.lib.utexas.edu/events/234,n,Not my library staff
University of Utah,Data_analysis_instruction,https://campusguides.lib.utah.edu/c.php?g=893558&p=6660727,n,moslty guides it seems
University of Washington,Data_analysis_instruction,https://guides.lib.uw.edu/research/dstools/help,n,Just a guide
"University of Wisconsin, Madison",Data_analysis_instruction,https://researchguides.library.wisc.edu/R/why,y,Clear workshop calendar
Washington State University,Data_analysis_instruction,https://ciser.wsu.edu/events-workshops/,y,"Engaged Learning hours, so yes?"
Michigan State University,Data_analysis_web,http://libguides.lib.msu.edu/c.php?g=96626&p=768034,n,
Michigan State University,Data_analysis_web,https://libguides.lib.msu.edu/dataanalysis,y,
Ohio State University,Data_analysis_web,http://guides.osu.edu/DH/data,y,
Ohio State University,Data_analysis_web,https://hslguides.osu.edu/hsl_du_software/home,y,
Oregon State University,Data_analysis_web,https://guides.library.oregonstate.edu/data,y,
Pennsylvania State University,Data_analysis_web,https://guides.libraries.psu.edu/c.php?g=894031&p=6429300,y,specific psu pages it seems
Stanford University,Data_analysis_web,https://library.stanford.edu/research/data-and-statistical-software,y,
"University of California, Berkeley",Data_analysis_web,https://guides.lib.berkeley.edu/ps190/stats,y,
"University of California, Berkeley",Data_analysis_web,https://update.lib.berkeley.edu/2016/03/04/professional-development-data-analysis-take-it-to-the-max/,n,This seems to be a course
"University of California, Davis",Data_analysis_web,https://www.library.ucdavis.edu/service/digital-scholarship/,n,"landing page, hard to find resources pages"
"University of California, Los Angeles",Data_analysis_web,https://www.library.ucla.edu/news/data-archive-workshops,n,this list workshops in the archive (2018)
University of Illinois at Urbana-Champaign,Data_analysis_web,https://guides.library.illinois.edu/c.php?g=348074&p=2346110,n,This is iffy I think
University of Illinois at Urbana-Champaign,Data_analysis_web,https://www.library.illinois.edu/search.php?q=Data+analysis+or+programming&hl=en&safe=off&filter=0,y,many guides it seems
University of Iowa,Data_analysis_web,https://its.uiowa.edu/big-data-analytics,n,This is ITS and not Library
"University of Maryland, College Park",Data_analysis_web,https://lib.guides.umd.edu/c.php?g=327087&p=3506810,n,"A bit unclear for me.  Resources list, but not tutorial, actual guides"
"University of Minnesota, Twin Cities",Data_analysis_web,https://www.lib.umn.edu/datamanagement/computing,y,provide Minnesota tutorials
University of Oregon,Data_analysis_web,https://researchguides.uoregon.edu/c.php?g=567658&p=3940646,n,A bit unclear as well
University of Oregon,Data_analysis_web,https://researchguides.uoregon.edu/c.php?g=567658&p=3987370,n,"resources are publications, so unclear. Most are outdated it seems"
University of Southern California,Data_analysis_web,https://libguides.usc.edu/c.php?g=234919,n,A bit unclear for me
University of Texas at Austin,Data_analysis_web,https://guides.lib.utexas.edu/datalab/home,n,LibGuides provide links to other resources
University of Utah,Data_analysis_web,https://campusguides.lib.utah.edu/c.php?g=893558&p=6425370,n,"provides youtube videos, unclear if this is entirely external"
University of Utah,Data_analysis_web,https://lib.utah.edu/services/knowledge-commons/software.php,n,Just a database of software
University of Washington,Data_analysis_web,https://guides.lib.uw.edu/hsl/data/analyze,n,libguides provide external links
University of Washington,Data_analysis_web,https://guides.lib.uw.edu/research/dstools/help,y,provide campus resources
"University of Wisconsin, Madison",Data_analysis_web,https://researchguides.library.wisc.edu/R,y,This is the workshop sercies but serves as a resource
Washington State University,Data_analysis_web,https://atl.wsu.edu/assessment-toolkits/assessment-data-analysis-toolkit/,y,lnks to WSU PDF guides
Washington State University,Data_analysis_web,https://libguides.libraries.wsu.edu/dataviz/programming,n,A bit iffy - external guides
Arizona State University,Data_management_consult,https://lib.asu.edu/research,n,
Arizona State University,Data_management_consult,https://lib.asu.edu/research/proposals,n,
Michigan State University,Data_management_consult,https://lib.msu.edu/rdmg/advising/,y,
Ohio State University,Data_management_consult,http://guides.osu.edu/IntroDataManagement,n,
Ohio State University,Data_management_consult,https://library.osu.edu/researchcommons/help/managing-data,n,
Oregon State University,Data_management_consult,https://guides.library.oregonstate.edu/research-data-services/campus-data-services,y,
Oregon State University,Data_management_consult,https://guides.library.oregonstate.edu/research-data-services/managing-data,n,
Pennsylvania State University,Data_management_consult,https://libraries.psu.edu/research/research-data-services/data-management,y,
Stanford University,Data_management_consult,https://library.stanford.edu/research/data-management-services,y,
Stanford University,Data_management_consult,https://library.stanford.edu/research/data-management-services/consulting-training-and-other-services,n,
Texas A&M University,Data_management_consult,http://tamu.libguides.com/research-data-management/overview,n,
Texas A&M University,Data_management_consult,https://askus.library.tamu.edu/rdms,n,
University of Arizona,Data_management_consult,https://data.library.arizona.edu/,y,
University of Arizona,Data_management_consult,https://data.library.arizona.edu/our-services,y,
"University of California, Berkeley",Data_management_consult,https://guides.lib.berkeley.edu/researchdata,y,
"University of California, Berkeley",Data_management_consult,https://researchdata.berkeley.edu/services,y,
"University of California, Davis",Data_management_consult,https://datalab.ucdavis.edu/office-hours/,n,
"University of California, Davis",Data_management_consult,https://www.library.ucdavis.edu/service/preserve-your-research/,n,
"University of California, Los Angeles",Data_management_consult,https://www.library.ucla.edu/support/publishing-data-management/scholarly-communication-services/data-management-curation-services/data-management-plans,n,
"University of California, Los Angeles",Data_management_consult,https://www.library.ucla.edu/support/research-help/research-data-services,n,one click away
"University of Colorado, Boulder",Data_management_consult,https://www.colorado.edu/libraries/research-assistance/data-services,y,
University of Florida,Data_management_consult,http://arcs.uflib.ufl.edu/consultations/,y,
University of Iowa,Data_management_consult,https://www.lib.uiowa.edu/data/contact/,y,
"University of Maryland, College Park",Data_management_consult,https://www.lib.umd.edu/data/events,n,
"University of Minnesota, Twin Cities",Data_management_consult,https://www.lib.umn.edu/datamanagement/workshops,y,
University of North Carolina at Chapel Hill,Data_management_consult,https://guides.lib.unc.edu/researchdatatoolkit/unc-services,n,
University of North Carolina at Chapel Hill,Data_management_consult,https://library.unc.edu/hub/services/data-management-consulting/,y,
University of Oregon,Data_management_consult,https://library.uoregon.edu/data-services/contact,y,
University of Texas at Austin,Data_management_consult,https://www.lib.utexas.edu/research-help-support/research-data-services,y,
University of Utah,Data_management_consult,https://campusguides.lib.utah.edu/c.php?g=246386&p=2090992,y,
University of Utah,Data_management_consult,https://lib.utah.edu/services/data-management/consultations.php,y,
University of Washington,Data_management_consult,https://www.lib.washington.edu/digitalscholarship/services/data,y,
"University of Wisconsin, Madison",Data_management_consult,https://researchdata.wisc.edu/consultations/,y,
Washington State University,Data_management_consult,https://libguides.libraries.wsu.edu/rdmlibguide/training,y,
Arizona State University,Data_management_instruction,https://lib.asu.edu/research/proposals,n,
Michigan State University,Data_management_instruction,https://lib.msu.edu/rdmg/training/,y,
Ohio State University,Data_management_instruction,http://guides.osu.edu/IntroDataManagement,n,
Oregon State University,Data_management_instruction,https://guides.library.oregonstate.edu/Library-Workshops-for-Grad-Students-Faculty/workshops_on_demand,n,
Oregon State University,Data_management_instruction,https://guides.library.oregonstate.edu/research-data-services/managing-data,n,
Pennsylvania State University,Data_management_instruction,https://libraries.psu.edu/research/research-data-services/data-management,y,
Stanford University,Data_management_instruction,https://library.stanford.edu/research/data-management-services/consulting-training-and-other-services,y,
Texas A&M University,Data_management_instruction,http://tamu.libguides.com/research-data-management/workshops,y,
Texas A&M University,Data_management_instruction,https://tamu.libguides.com/research-data-management/workshops,y,
University of Arizona,Data_management_instruction,https://data.library.arizona.edu/,y,
University of Arizona,Data_management_instruction,https://data.library.arizona.edu/our-services,y,
"University of California, Berkeley",Data_management_instruction,https://guides.lib.berkeley.edu/reproducibility-guide,y,
"University of California, Berkeley",Data_management_instruction,https://researchdata.berkeley.edu/training,y,
"University of California, Davis",Data_management_instruction,https://www.library.ucdavis.edu/service/data-management/data-management-program-workshops-events/,y,
"University of California, Los Angeles",Data_management_instruction,https://guides.library.ucla.edu/data-management-sciences,n,
"University of Colorado, Boulder",Data_management_instruction,https://www.colorado.edu/crdds/what-we-do/research-data-management,y,
University of Florida,Data_management_instruction,https://guides.uflib.ufl.edu/datamanagement/home,y,
University of Illinois at Urbana-Champaign,Data_management_instruction,http://guides.library.illinois.edu/introdata,n,
University of Illinois at Urbana-Champaign,Data_management_instruction,https://www.library.illinois.edu/rds/workshops/,y,
University of Iowa,Data_management_instruction,http://www.lib.uiowa.edu/data/plan/,y,
"University of Maryland, College Park",Data_management_instruction,https://www.lib.umd.edu/data/data-mgmt,n,
"University of Maryland, College Park",Data_management_instruction,https://www.lib.umd.edu/rc/common-quandaries,n,
"University of Minnesota, Twin Cities",Data_management_instruction,https://www.lib.umn.edu/datamanagement/best-practices-templates,n,
"University of Minnesota, Twin Cities",Data_management_instruction,https://www.lib.umn.edu/datamanagement/workshops,y,
University of North Carolina at Chapel Hill,Data_management_instruction,https://guides.lib.unc.edu/metadata,y,
University of Oregon,Data_management_instruction,https://researchguides.uoregon.edu/data-management/services,y,
University of Southern California,Data_management_instruction,https://libguides.usc.edu/CER_RDM,y,
University of Texas at Austin,Data_management_instruction,https://guides.lib.utexas.edu/data-and-donuts/managing-research-data,y,
University of Utah,Data_management_instruction,https://campusguides.lib.utah.edu/c.php?g=246386&p=2090992,y,
University of Utah,Data_management_instruction,https://lib.utah.edu/services/data-management/education-training.php,y,
University of Washington,Data_management_instruction,https://guides.lib.uw.edu/research/dmg,n,
University of Washington,Data_management_instruction,https://www.lib.washington.edu/digitalscholarship/hacking-the-academy-programming-series,y,
"University of Wisconsin, Madison",Data_management_instruction,https://researchdata.wisc.edu/our-services/,y,
Washington State University,Data_management_instruction,https://cereo.wsu.edu/data-management-workshops/,n,
Washington State University,Data_management_instruction,https://libguides.libraries.wsu.edu/rdmlibguide/training,y,
Washington State University,Data_management_instruction,https://lo.library.wisc.edu/research_data_mgmt/,n,Wisconsin link
Arizona State University,Data_management_web,https://lib.asu.edu/research/proposals,n,
Arizona State University,Data_management_web,https://libguides.asu.edu/c.php?g=264208&p=1763700,y,
Michigan State University,Data_management_web,https://lib.msu.edu/rdmg/resources/,y,
Ohio State University,Data_management_web,https://guides.osu.edu/IntroDataManagement,y,
Ohio State University,Data_management_web,https://library.osu.edu/researchcommons/help/managing-data,n,
Oregon State University,Data_management_web,https://guides.library.oregonstate.edu/research-data-services/managing-data,y,
Pennsylvania State University,Data_management_web,http://guides.libraries.psu.edu/dmptoolkit,y,
Pennsylvania State University,Data_management_web,http://guides.libraries.psu.edu/rdm,n,
Stanford University,Data_management_web,https://library.stanford.edu/research/data-management-services/data-best-practices,y,
Stanford University,Data_management_web,https://www.dataone.org/all-best-practices,y,
Texas A&M University,Data_management_web,http://tamu.libguides.com/research-data-management/data-sharing-requirements,n,
Texas A&M University,Data_management_web,https://tamu.libguides.com/research-data-management/overview,y,
University of Arizona,Data_management_web,https://data.library.arizona.edu/best-practices,y,
"University of California, Berkeley",Data_management_web,https://guides.lib.berkeley.edu/researchdata,y,
"University of California, Berkeley",Data_management_web,https://researchdata.berkeley.edu/services,y,
"University of California, Davis",Data_management_web,https://www.library.ucdavis.edu/service/data-management/share/,n,
"University of California, Davis",Data_management_web,https://www.library.ucdavis.edu/service/research-data-services/,y,
"University of California, Los Angeles",Data_management_web,https://guides.library.ucla.edu/data-management-sciences,y,
University of Florida,Data_management_web,https://guides.uflib.ufl.edu/datamanagement/home,y,
University of Illinois at Urbana-Champaign,Data_management_web,http://guides.library.illinois.edu/introdata,y,
University of Iowa,Data_management_web,http://www.lib.uiowa.edu/data/plan/funder-and-ui-requirements/,n,
University of Iowa,Data_management_web,https://www.lib.uiowa.edu/data/manage/,y,
"University of Maryland, College Park",Data_management_web,https://www.lib.umd.edu/data/data-mgmt,n,
"University of Minnesota, Twin Cities",Data_management_web,https://www.lib.umn.edu/datamanagement/best-practices-templates,y,
University of North Carolina at Chapel Hill,Data_management_web,https://guides.lib.unc.edu/researchdatatoolkit/home,y,
University of Oregon,Data_management_web,https://researchguides.uoregon.edu/data-management/services,y,
University of Southern California,Data_management_web,https://libraries.usc.edu/databases/dataverse,n,
University of Utah,Data_management_web,http://campusguides.lib.utah.edu/researchdata,y,
University of Utah,Data_management_web,https://campusguides.lib.utah.edu/c.php?g=246386&p=2090992,n,
University of Washington,Data_management_web,https://guides.lib.uw.edu/friendly.php?s=research/dmg,y,
University of Washington,Data_management_web,https://guides.lib.uw.edu/research/dmg,y,
"University of Wisconsin, Madison",Data_management_web,https://lo.library.wisc.edu/research_data_mgmt/,y,
Washington State University,Data_management_web,https://libguides.libraries.wsu.edu/rdmlibguide,y,
Washington State University,Data_management_web,https://lo.library.wisc.edu/research_data_lifecycle/story_html5.html,n,Wisconsin link
Arizona State University,Data_repository,https://lib.asu.edu/research/store,y,Refers to future repository (but the future is now)
Arizona State University,Data_repository,https://repository.asu.edu/,n,
Michigan State University,Data_repository,https://lib.msu.edu/preservation/digital/,n,
Michigan State University,Data_repository,https://lib.msu.edu/rdmg/advising/,n,
Ohio State University,Data_repository,http://guides.osu.edu/c.php?g=707751&p=6017038,n,
Ohio State University,Data_repository,https://library.osu.edu/site/osulstaff/2020/01/31/ohio-state-new-institutional-member-of-dryad-open-data-repository/,y,
Oregon State University,Data_repository,https://guides.library.oregonstate.edu/research-data-services/data-management-archive-preserve,y,
Oregon State University,Data_repository,https://guides.library.oregonstate.edu/research-data-services/data-management-data-repositories,y,
Pennsylvania State University,Data_repository,https://libraries.psu.edu/about/departments/preservation-conservation-and-digitization/about-bindery,n,
Pennsylvania State University,Data_repository,https://libraries.psu.edu/research/research-data-services/data-archiving-and-preservation,n,
Stanford University,Data_repository,https://library.stanford.edu/research/data-management-services/share-and-preserve-research-data,y,
Stanford University,Data_repository,https://library.stanford.edu/research/stanford-digital-repository,y,
Texas A&M University,Data_repository,http://tamu.libguides.com/research-data-management/repositories,y,
Texas A&M University,Data_repository,https://tamu.libguides.com/research-data-management/repositories,y,
University of Arizona,Data_repository,https://data.library.arizona.edu/best-practices/data-sharing-archiving,n,
University of Arizona,Data_repository,https://data.library.arizona.edu/services/ua-research-data-repository,y,
"University of California, Berkeley",Data_repository,https://researchdata.berkeley.edu/services/data-preservation-and-archiving,n,
"University of California, Berkeley",Data_repository,https://update.lib.berkeley.edu/2020/01/28/dryad/,n,
"University of California, Davis",Data_repository,https://www.library.ucdavis.edu/service/data-management/share/,n,
"University of California, Davis",Data_repository,https://www.library.ucdavis.edu/service/data-management/share/#dryad-1,n,
"University of California, Los Angeles",Data_repository,https://www.library.ucla.edu/events/open-access-data-repositories,n,
"University of California, Los Angeles",Data_repository,https://www.library.ucla.edu/location/data-science-center/data-archive-collections,y,
"University of Colorado, Boulder",Data_repository,https://scholar.colorado.edu/about,y,
University of Florida,Data_repository,http://arcs.uflib.ufl.edu/services/publishingarchiving/,y,
University of Florida,Data_repository,https://guides.uflib.ufl.edu/c.php?g=636498&p=5441695,n,
University of Illinois at Urbana-Champaign,Data_repository,http://guides.library.illinois.edu/introdata/preservation,n,
University of Illinois at Urbana-Champaign,Data_repository,https://www.library.illinois.edu/scp/repositories/,y,
University of Iowa,Data_repository,https://www.lib.uiowa.edu/data/share/data-repositories/,n,
"University of Maryland, College Park",Data_repository,https://www.lib.umd.edu/data/repositories,n,
"University of Minnesota, Twin Cities",Data_repository,https://conservancy.umn.edu/handle/11299/166578,y,
University of North Carolina at Chapel Hill,Data_repository,https://guides.lib.unc.edu/metadata/repositories,y,
University of North Carolina at Chapel Hill,Data_repository,https://guides.lib.unc.edu/researchdatatoolkit/choosing-a-repository,n,
University of Oregon,Data_repository,https://researchguides.uoregon.edu/data-management/archiving,n,
University of Oregon,Data_repository,https://researchguides.uoregon.edu/scholarsbank/faculty-publishing-data,y,
University of Southern California,Data_repository,https://libraries.usc.edu/article/usc-digital-repository-shapes-future-archiving,n,
University of Texas at Austin,Data_repository,https://data.tdl.org/,n,
University of Texas at Austin,Data_repository,https://guides.lib.utexas.edu/c.php?g=1020955&p=7429419,n,
University of Utah,Data_repository,https://campusguides.lib.utah.edu/data_repositories,y,
University of Utah,Data_repository,https://lib.utah.edu/services/data-management/consultations.php,n,
University of Washington,Data_repository,https://guides.lib.uw.edu/hsl/data/find,n,
University of Washington,Data_repository,https://guides.lib.uw.edu/research/dmg/ssp,n,
"University of Wisconsin, Madison",Data_repository,https://www.library.wisc.edu/digital-library-services/minds/,y,
Washington State University,Data_repository,https://libguides.libraries.wsu.edu/datamanagement/datastorage,y,
Washington State University,Data_repository,https://www.library.wisc.edu/digital-library-services/,n,
Arizona State University,Electronic_lab_notebooks,https://libguides.asu.edu/chemistry/web,n,
Ohio State University,Electronic_lab_notebooks,https://resourcecenter.odee.osu.edu/labarchives,n,
Oregon State University,Electronic_lab_notebooks,https://guides.library.oregonstate.edu/research-data-services/data-management-lab-notebooks,n,
Stanford University,Electronic_lab_notebooks,https://library.stanford.edu/blogs/stanford-libraries-blog/2018/11/chemoffice-professional-version-18-and-signals-notebook,n,
Stanford University,Electronic_lab_notebooks,https://library.stanford.edu/science/software/chemoffice-professional,y,
University of Arizona,Electronic_lab_notebooks,https://data.library.arizona.edu/best-practices/open-science-framework-osf,n,
"University of California, Berkeley",Electronic_lab_notebooks,https://guides.lib.berkeley.edu/ERN,y,
"University of California, Davis",Electronic_lab_notebooks,https://www.library.ucdavis.edu/service/preserve-your-research/,n,
"University of California, Los Angeles",Electronic_lab_notebooks,https://www.library.ucla.edu/events/electronic-lab-notebooks-workshop-biomed-demo,n,
University of Florida,Electronic_lab_notebooks,https://guides.uflib.ufl.edu/c.php?g=729909&p=5215812,n,
University of Florida,Electronic_lab_notebooks,https://guides.uflib.ufl.edu/datamanagement/tools,n,
University of Iowa,Electronic_lab_notebooks,https://www.lib.uiowa.edu/data/manage/documenting/lab-notebooks/,n,
"University of Maryland, College Park",Electronic_lab_notebooks,https://www.lib.umd.edu/binaries/content/assets/public/chemistry/elns/quick-start.pdf,n,"PDF for using an ELN, provenance & date unknown"
"University of Minnesota, Twin Cities",Electronic_lab_notebooks,https://www.lib.umn.edu/datamanagement/eln,y,
University of Oregon,Electronic_lab_notebooks,http://researchguides.uoregon.edu/library_workshops/digital_projects,n,
University of Utah,Electronic_lab_notebooks,http://campusguides.lib.utah.edu/ELNs,y,
University of Utah,Electronic_lab_notebooks,https://campusguides.lib.utah.edu/ELNs,y,
University of Washington,Electronic_lab_notebooks,https://guides.lib.uw.edu/research/ELN,n,
"University of Wisconsin, Madison",Electronic_lab_notebooks,https://eln.wisc.edu/,y,
Washington State University,Electronic_lab_notebooks,http://ebling.library.wisc.edu/2018/07/19/electronic-lab-notebooks-all-invited/,n,
Washington State University,Electronic_lab_notebooks,http://libguides.libraries.wsu.edu/rdmlibguide/metadata,n,
Arizona State University,OSF,https://libguides.asu.edu/data/storage,n,
Arizona State University,OSF,https://libguides.asu.edu/openaccess/opendata-science,n,
Ohio State University,OSF,https://library.osu.edu/researchcommons/tag/open-science,n,
Oregon State University,OSF,https://guin.library.oregonstate.edu/workshops-offered-data-wrangling-research-411-and-open-research-%E2%80%93-toolsbest-practices-412,n,
Texas A&M University,OSF,https://library.tamu.edu/services/scholarly_communication/Open_Access/index.html,n,
Texas A&M University,OSF,https://tamu.libguides.com/research-data-management/collaborate,n,
University of Arizona,OSF,https://data.library.arizona.edu/best-practices/open-science-framework-osf,y,
"University of California, Berkeley",OSF,https://update.lib.berkeley.edu/tag/open-science/,n,
"University of California, Davis",OSF,https://www.library.ucdavis.edu/service/data-management/share/,n,
"University of California, Los Angeles",OSF,https://www.library.ucla.edu/events/open-science-framework-research-workflows,n,
"University of Colorado, Boulder",OSF,https://www.colorado.edu/libraries/research-assistance/open-access,n,
"University of Colorado, Boulder",OSF,https://www.colorado.edu/libraries/research/research-data-initiative/open-science-framework-institutions,n,
University of Florida,OSF,https://guides.uflib.ufl.edu/datamanagement/tools,n,
University of Illinois at Urbana-Champaign,OSF,https://guides.library.illinois.edu/c.php?g=348005&p=3423447,n,
"University of Maryland, College Park",OSF,https://www.lib.umd.edu/news/2015/02/open-science,n,
"University of Minnesota, Twin Cities",OSF,https://www.lib.umn.edu/scholcom/open-science,n,
University of North Carolina at Chapel Hill,OSF,https://guides.lib.unc.edu/researchdatatoolkit/tools,n,
University of Oregon,OSF,http://researchguides.uoregon.edu/library_workshops/using_osf,n,
University of Oregon,OSF,https://researchguides.uoregon.edu/library_workshops/digital_projects,y,
University of Southern California,OSF,https://libguides.usc.edu/CER_RDM,n,
University of Utah,OSF,https://campusguides.lib.utah.edu/reproducibility/toolkit,n,
University of Washington,OSF,https://guides.lib.uw.edu/research/osf,y,
University of Washington,OSF,https://www.lib.washington.edu/dataservices/tools/osf,n,
Washington State University,OSF,https://libguides.libraries.wsu.edu/lovedataweek,n,
Arizona State University,Reproducible_research,https://sgsup.asu.edu/sparc/RRWorkshop,n,Not library related
Ohio State University,Reproducible_research,https://library.osu.edu/researchcommons/event/center-for-open-science-workshop,n,2017 event
Pennsylvania State University,Reproducible_research,https://sites.psu.edu/codeforher/r-workshop-series/,n,"Event at Library, but not by Library staff"
Stanford University,Reproducible_research,https://library.stanford.edu/events/2016-05-02/improving-reproducibility-quantitative-research-hands-workshop,n,This is from 2016
Stanford University,Reproducible_research,https://library.stanford.edu/research/data-management-services/consulting-training-and-other-services,n,"Events seem outdate, nothing scream out ""reproducible research"" easily"
